"_id",action,common,expectation
5e33d61674a3cb2ccdb112b7,sign,true,"I can sign up for a Facebook account with my email address and password "
5e33d61674a3cb2ccdb112b8,facebook,true,"I can sign up for a Facebook account with my email address and password "
5e33d61674a3cb2ccdb112b9,account,true,"I can sign up for a Facebook account with my email address and password "
5e33d61674a3cb2ccdb112ba,email,true,"I can sign up for a Facebook account with my email address and password "
5e33d61674a3cb2ccdb112bb,address,true,"I can sign up for a Facebook account with my email address and password "
5e33d61674a3cb2ccdb112bc,password,true,"I can sign up for a Facebook account with my email address and password "
5e33d64792b10841662750a8,submit,false,"bmit a friend request to people I know so that I can keep in touch with them "
5e33d64792b10841662750a9,friend,false,"bmit a friend request to people I know so that I can keep in touch with them "
5e33d64792b10841662750aa,request,false,"bmit a friend request to people I know so that I can keep in touch with them "
5e33d64792b10841662750ab,people,false,"bmit a friend request to people I know so that I can keep in touch with them "
5e33d64792b10841662750ac,know,false,"bmit a friend request to people I know so that I can keep in touch with them "
5e33d64792b10841662750ad,touch,false,"bmit a friend request to people I know so that I can keep in touch with them "
5e33d663a5c2a5d33bc8fc3f,accept,false,"I can accept or reject friend requests that other users send to me "
5e33d663a5c2a5d33bc8fc40,reject,false,"I can accept or reject friend requests that other users send to me "
5e33d663a5c2a5d33bc8fc41,friend,false,"I can accept or reject friend requests that other users send to me "
5e33d663a5c2a5d33bc8fc42,request,false,"I can accept or reject friend requests that other users send to me "
5e33d663a5c2a5d33bc8fc43,user,false,"I can accept or reject friend requests that other users send to me "
5e33d663a5c2a5d33bc8fc44,send,false,"I can accept or reject friend requests that other users send to me "
5e33d6b9e6a224cc76d9ee73,send,true,"I can send a private message to a person with whom I am friends "
5e33d6b9e6a224cc76d9ee74,private,true,"I can send a private message to a person with whom I am friends "
5e33d6b9e6a224cc76d9ee75,message,true,"I can send a private message to a person with whom I am friends "
5e33d6b9e6a224cc76d9ee76,person,true,"I can send a private message to a person with whom I am friends "
5e33d6b9e6a224cc76d9ee77,friend,true,"I can send a private message to a person with whom I am friends "
5e33d7010f144f3c101dc968,enter,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc969,information,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc96a,business,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc96b,page,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc96c,potential,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc96d,customer,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc96e,learn,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc96f,business,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d7010f144f3c101dc970,doe,true,"ter information on my business page so that potential customers can learn about what my business does "
5e33d74454c4a1a9cc3349f0,enter,true,"ter my address that will show up on a map so that people can locate our business "
5e33d74454c4a1a9cc3349f1,address,true,"ter my address that will show up on a map so that people can locate our business "
5e33d74454c4a1a9cc3349f2,map,true,"ter my address that will show up on a map so that people can locate our business "
5e33d74454c4a1a9cc3349f3,people,true,"ter my address that will show up on a map so that people can locate our business "
5e33d74454c4a1a9cc3349f4,locate,true,"ter my address that will show up on a map so that people can locate our business "
5e33d74454c4a1a9cc3349f5,business,true,"ter my address that will show up on a map so that people can locate our business "
5e33d76e430410678f372760,delete,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372761,consumer,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372762,facebook,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372763,page,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372764,violating,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372765,facebook,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372766,s,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d76e430410678f372767,policy,false,"I can delete a consumer Facebook page for violating Facebook 's policies "
5e33d7d8c944aa4b1d1a6883,remove,true,"I can remove inappropriate material from Facebook "
5e33d7d8c944aa4b1d1a6884,inappropriate,true,"I can remove inappropriate material from Facebook "
5e33d7d8c944aa4b1d1a6885,material,true,"I can remove inappropriate material from Facebook "
5e33d7d8c944aa4b1d1a6886,facebook,true,"I can remove inappropriate material from Facebook "
5e33d7f2371ff3359057b3d0,approve,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d1,decline,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d2,new,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d3,facebook,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d4,game,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d5,submitted,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d6,facebook,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d7f2371ff3359057b3d7,platform,true,"I can approve or decline a new Facebook game submitted to the Facebook platform "
5e33d815fe0cab1a69da3e67,consumer,true,"I can see how many consumer users are on the Facebook platform "
5e33d815fe0cab1a69da3e68,user,true,"I can see how many consumer users are on the Facebook platform "
5e33d815fe0cab1a69da3e69,facebook,true,"I can see how many consumer users are on the Facebook platform "
5e33d815fe0cab1a69da3e6a,platform,true,"I can see how many consumer users are on the Facebook platform "
5e33d897a7cb64db48b88a86,run,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a87,report,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a88,specified,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a89,date,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a8a,range,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a8b,money,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a8c,facebook,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a8d,game,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d897a7cb64db48b88a8e,publisher,true,"n a report on a specified date range so that I can see how much money Facebook has made from all game publishers "
5e33d916dbea9b2410f682b8,want,false,"I can share events with my friends and have my profile on all devices "
5e33d916dbea9b2410f682b9,able,false,"I can share events with my friends and have my profile on all devices "
5e33d916dbea9b2410f682ba,login,false,"I can share events with my friends and have my profile on all devices "
5e33d916dbea9b2410f682bb,facebook,false,"I can share events with my friends and have my profile on all devices "
5e33d9382fb9196ab64d5aff,want,false,"I want to be able to login with Facebook "
5e33d9382fb9196ab64d5b00,able,false,"I want to be able to login with Facebook "
5e33d9382fb9196ab64d5b01,login,false,"I want to be able to login with Facebook "
5e33d9382fb9196ab64d5b02,facebook,false,"I want to be able to login with Facebook "
5e33d97288d558be8600ecd0,logged,false,"I want to share events with my friends "
5e33d97288d558be8600ecd1,facebook,false,"I want to share events with my friends "
5e33d99ce60996f1860ba751,logged,false,"I want to have my profile on all devices "
5e33d99ce60996f1860ba752,facebook,false,"I want to have my profile on all devices "
5e33d9c892d8619ae6684f14,want,false,"I want to be able to login with Facebook "
5e33d9c892d8619ae6684f15,able,false,"I want to be able to login with Facebook "
5e33d9c892d8619ae6684f16,login,false,"I want to be able to login with Facebook "
5e33d9c892d8619ae6684f17,facebook,false,"I want to be able to login with Facebook "
5e33da0af1a34600e06581b3,backup,true,"I can backup my entire hard drive "
5e33da0af1a34600e06581b4,entire,true,"I can backup my entire hard drive "
5e33da0af1a34600e06581b5,hard,true,"I can backup my entire hard drive "
5e33da0af1a34600e06581b6,drive,true,"I can backup my entire hard drive "
5e33da241b4f34c24924681d,specify,true,"date created and date modified "
5e33da241b4f34c24924681e,file,true,"date created and date modified "
5e33da241b4f34c24924681f,folder,true,"date created and date modified "
5e33da241b4f34c249246820,backup,true,"date created and date modified "
5e33da241b4f34c249246821,based,true,"date created and date modified "
5e33da241b4f34c249246822,file,true,"date created and date modified "
5e33da241b4f34c249246823,size,true,"date created and date modified "
5e33da4be1ec20995f1b17cf,indicate,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d0,folder,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d1,backup,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d2,backup,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d3,drive,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d4,nt,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d5,filled,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d6,thing,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d7,nt,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d8,need,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da4be1ec20995f1b17d9,saved,true,"dicate folders not to backup so that my backup drive is n't filled up with things I do n't need saved "
5e33da69ab8658bfafce5ca8,want,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5ca9,view,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5caa,facebook,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5cab,native,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5cac,io,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5cad,app,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5cae,stay,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da69ab8658bfafce5caf,informed,true,"I want to view Facebook in a native iOS app So that I can stay informed on the go "
5e33da85578d739e73d4c50b,want,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c50c,tag,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c50d,photo,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c50e,specific,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c50f,category,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c510,filter,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c511,search,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c512,photo,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c513,future,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33da85578d739e73d4c514,use,false,"o tag the photos under specific categories so that I can filter and search the photos for future use "
5e33dac939f199d3cad66b63,want,true,"o upload photos so that I can share photos with others "
5e33dac939f199d3cad66b64,upload,true,"o upload photos so that I can share photos with others "
5e33dac939f199d3cad66b65,photo,true,"o upload photos so that I can share photos with others "
5e33dac939f199d3cad66b66,share,true,"o upload photos so that I can share photos with others "
5e33dac939f199d3cad66b67,photo,true,"o upload photos so that I can share photos with others "
